"BehaviorSpace results (NetLogo 6.0.4)"
"Untitled.nlogo"
"experiment"
"02/21/2019 17:55:28:558 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","1","2","3","4"
"number","10","25","50","100"
"[reporter]","res","res","res","res"
"[final]","0","0","0","0"
"[min]","0","0","0","0"
"[max]","0","0","0","0"
"[mean]","0","0","0","0"
"[steps]","1","1","1","1"

"[all run data]","res","res","res","res"
,"0","0","0","0"
,"0","0","0","0"
