"BehaviorSpace results (NetLogo 6.0.4)"
"Untitled.nlogo"
"experiment"
"02/21/2019 17:55:27:611 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","number","[step]","res"
"4","100","0","0"
"3","50","0","0"
"1","10","0","0"
"2","25","0","0"
"4","100","1","0"
"3","50","1","0"
"1","10","1","0"
"2","25","1","0"
